class_id,img_idx,ksize,sigma,cos_sim
235,26,5,9.0,0.9471144676208496
235,26,7,2.0,0.9316396713256836
235,26,7,4.0,0.9160963296890259
235,26,7,13.5,0.9177806377410889
235,26,7,15.0,0.9178149700164795
235,26,11,2.0,0.9206047058105469
235,26,11,5.0,0.8258293867111206
235,27,5,1.0,0.958823561668396
235,27,5,2.0,0.9331488013267517
235,27,5,4.0,0.9288241863250732
235,27,5,9.0,0.9268060326576233
235,27,7,2.0,0.8982970118522644
235,27,7,4.0,0.8584190011024475
235,27,7,13.5,0.8548354506492615
235,27,7,15.0,0.8548191785812378
235,27,11,2.0,0.8818662166595459
235,27,11,5.0,0.8285877704620361
235,28,5,1.0,0.9421107769012451
235,28,5,2.0,0.9197981357574463
235,28,5,4.0,0.9183872938156128
235,28,5,9.0,0.9174337387084961
235,28,7,2.0,0.894646406173706
235,28,7,4.0,0.8869848251342773
235,28,7,13.5,0.8868165612220764
235,28,7,15.0,0.8868082761764526
235,28,11,2.0,0.8826028108596802
235,28,11,5.0,0.8380559682846069
235,29,5,1.0,0.8931682705879211
235,29,5,2.0,0.8377714157104492
235,29,5,4.0,0.8310261368751526
235,29,5,9.0,0.8283298015594482
235,29,7,2.0,0.7943636178970337
235,29,7,4.0,0.7693747282028198
235,29,7,13.5,0.7753221988677979
235,29,7,15.0,0.7753252983093262
235,29,11,2.0,0.7739149332046509
235,29,11,5.0,0.6577603220939636
235,30,5,1.0,0.9347516298294067
235,30,5,2.0,0.9215041995048523
235,30,5,4.0,0.9245727062225342
235,30,5,9.0,0.9231177568435669
235,30,7,2.0,0.8871159553527832
235,30,7,4.0,0.8780282735824585
235,30,7,13.5,0.8667417764663696
235,30,7,15.0,0.866479754447937
235,30,11,2.0,0.8778825998306274
235,30,11,5.0,0.7752280235290527
235,31,5,1.0,0.9604284763336182
235,31,5,2.0,0.9468351602554321
235,31,5,4.0,0.9436905980110168
235,31,5,9.0,0.9433082938194275
235,31,7,2.0,0.920312225818634
235,31,7,4.0,0.9121627807617188
235,31,7,13.5,0.9135845303535461
235,31,7,15.0,0.9136030673980713
235,31,11,2.0,0.9015272259712219
235,31,11,5.0,0.851188600063324
235,32,5,1.0,0.9483902454376221
235,32,5,2.0,0.8950375318527222
235,32,5,4.0,0.8665263056755066
235,32,5,9.0,0.8642248511314392
235,32,7,2.0,0.8542102575302124
235,32,7,4.0,0.8394310474395752
235,32,7,13.5,0.8262928128242493
235,32,7,15.0,0.8261396288871765
235,32,11,2.0,0.8457255363464355
235,32,11,5.0,0.781927227973938
235,33,5,1.0,0.9310914278030396
235,33,5,2.0,0.9122391939163208
235,33,5,4.0,0.9211961030960083
235,33,5,9.0,0.9222533106803894
235,33,7,2.0,0.8700448274612427
235,33,7,4.0,0.8783934712409973
235,33,7,13.5,0.8846963047981262
235,33,7,15.0,0.8848341703414917
235,33,11,2.0,0.8462072610855103
235,33,11,5.0,0.7856541872024536
235,34,5,1.0,0.8695377111434937
235,34,5,2.0,0.8140692114830017
235,34,5,4.0,0.8118385672569275
235,34,5,9.0,0.8106354475021362
235,34,7,2.0,0.7401548027992249
235,34,7,4.0,0.6897619366645813
235,34,7,13.5,0.6747610569000244
235,34,7,15.0,0.6747387647628784
235,34,11,2.0,0.7067297697067261
235,34,11,5.0,0.5213168263435364
235,35,5,1.0,0.8959521651268005
235,35,5,2.0,0.8725736737251282
235,35,5,4.0,0.8722083568572998
235,35,5,9.0,0.870805025100708
235,35,7,2.0,0.8595761656761169
235,35,7,4.0,0.8399874567985535
235,35,7,13.5,0.8281079530715942
235,35,7,15.0,0.8279028534889221
235,35,11,2.0,0.8527266979217529
235,35,11,5.0,0.8025614023208618
235,36,5,1.0,0.9344059228897095
235,36,5,2.0,0.9043087363243103
235,36,5,4.0,0.9053524732589722
235,36,5,9.0,0.9057965874671936
235,36,7,2.0,0.8822847008705139
235,36,7,4.0,0.882908046245575
235,36,7,13.5,0.8864978551864624
235,36,7,15.0,0.8865503072738647
235,36,11,2.0,0.8781611919403076
235,36,11,5.0,0.8516438007354736
235,37,5,1.0,0.9445253014564514
235,37,5,2.0,0.9181287884712219
235,37,5,4.0,0.921407163143158
235,37,5,9.0,0.9221159219741821
235,37,7,2.0,0.900830090045929
235,37,7,4.0,0.8805580735206604
235,37,7,13.5,0.8696631789207458
235,37,7,15.0,0.8695731163024902
235,37,11,2.0,0.8913257122039795
235,37,11,5.0,0.7889934778213501
235,38,5,1.0,0.9154617786407471
235,38,5,2.0,0.88188636302948
235,38,5,4.0,0.8824114799499512
235,38,5,9.0,0.8824484348297119
235,38,7,2.0,0.8541678190231323
235,38,7,4.0,0.8265494108200073
235,38,7,13.5,0.7861068844795227
235,38,7,15.0,0.7850914001464844
235,38,11,2.0,0.8393813371658325
235,38,11,5.0,0.5365443229675293
235,39,5,1.0,0.9556514024734497
235,39,5,2.0,0.9445428848266602
235,39,5,4.0,0.945831835269928
235,39,5,9.0,0.9463986754417419
235,39,7,2.0,0.9338090419769287
235,39,7,4.0,0.930356502532959
235,39,7,13.5,0.924915611743927
235,39,7,15.0,0.9247909784317017
235,39,11,2.0,0.927071213722229
235,39,11,5.0,0.8965625762939453
235,40,5,1.0,0.9338594675064087
235,40,5,2.0,0.9074611663818359
235,40,5,4.0,0.9049274921417236
235,40,5,9.0,0.9055521488189697
235,40,7,2.0,0.8698028326034546
235,40,7,4.0,0.8714861273765564
235,40,7,13.5,0.8885113000869751
235,40,7,15.0,0.8886972665786743
235,40,11,2.0,0.8563026189804077
235,40,11,5.0,0.8250577449798584
235,41,5,1.0,0.9513517022132874
235,41,5,2.0,0.9337633848190308
235,41,5,4.0,0.9321791529655457
235,41,5,9.0,0.9315303564071655
235,41,7,2.0,0.9096393585205078
235,41,7,4.0,0.9021233320236206
235,41,7,13.5,0.8979831337928772
235,41,7,15.0,0.8979166746139526
235,41,11,2.0,0.8984420895576477
235,41,11,5.0,0.8357210755348206
235,42,5,1.0,0.9152645468711853
235,42,5,2.0,0.8687844276428223
235,42,5,4.0,0.864672064781189
235,42,5,9.0,0.8648076057434082
235,42,7,2.0,0.824413537979126
235,42,7,4.0,0.8063990473747253
235,42,7,13.5,0.805475652217865
235,42,7,15.0,0.8055070638656616
235,42,11,2.0,0.8064092397689819
235,42,11,5.0,0.7169285416603088
235,43,5,1.0,0.9196583032608032
235,43,5,2.0,0.9131239056587219
235,43,5,4.0,0.9085249900817871
235,43,5,9.0,0.9057455062866211
235,43,7,2.0,0.9008187651634216
235,43,7,4.0,0.882936954498291
235,43,7,13.5,0.8857035040855408
235,43,7,15.0,0.8858723044395447
235,43,11,2.0,0.889648973941803
235,43,11,5.0,0.842705488204956
235,44,5,1.0,0.947320818901062
235,44,5,2.0,0.9379180073738098
235,44,5,4.0,0.9270340204238892
235,44,5,9.0,0.9241271018981934
235,44,7,2.0,0.9248985052108765
235,44,7,4.0,0.912969172000885
235,44,7,13.5,0.908795177936554
235,44,7,15.0,0.9086821675300598
235,44,11,2.0,0.9196189641952515
235,44,11,5.0,0.8404601812362671
235,45,5,1.0,0.9331035017967224
235,45,5,2.0,0.9269409775733948
235,45,5,4.0,0.9264298677444458
235,45,5,9.0,0.9279477596282959
235,45,7,2.0,0.915324866771698
235,45,7,4.0,0.8993619680404663
235,45,7,13.5,0.8842930793762207
235,45,7,15.0,0.8841772079467773
235,45,11,2.0,0.9054975509643555
235,45,11,5.0,0.8723955154418945
235,46,5,1.0,0.9656375646591187
235,46,5,2.0,0.9580867886543274
235,46,5,4.0,0.9613077044487
235,46,5,9.0,0.9621041417121887
235,46,7,2.0,0.9411768913269043
235,46,7,4.0,0.9479185342788696
235,46,7,13.5,0.9498899579048157
235,46,7,15.0,0.9499188661575317
235,46,11,2.0,0.9317528009414673
235,46,11,5.0,0.9163765907287598
235,47,5,1.0,0.9051764011383057
235,47,5,2.0,0.8812745809555054
235,47,5,4.0,0.8869160413742065
235,47,5,9.0,0.8878041505813599
235,47,7,2.0,0.858583927154541
235,47,7,4.0,0.8434336185455322
235,47,7,13.5,0.8458089828491211
235,47,7,15.0,0.8458160758018494
235,47,11,2.0,0.8453305959701538
235,47,11,5.0,0.7716355919837952
235,48,5,1.0,0.947737455368042
235,48,5,2.0,0.9334365129470825
