,,CLASS 1 (clean images),,,,OCCLUSION 0,,,,OCCLUSION 10,,,,OCCLUSION 20,,,,OCCLUSION 30,,,,OCCLUSION 40,,,,OCCLUSION 50,,,,OCCLUSION 60,,,,OCCLUSION 70,,,,OCCLUSION 80,,,,OCCLUSION 90,,,
layer,head,patch_common_features_cls1,patch_count_cls1,cls_common_features_cls1,cls_count_cls1,patch_common_features,patch_count_,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count
4,7,"[5, 17, 36, 43, 58, 62]",6,"[13, 27, 43, 55, 62]",5,"[5, 17, 36, 43, 58, 62]",6,"[13, 27, 43, 55, 62]",5,"[5, 36, 43, 58, 62]",5,"[13, 27, 43, 55, 62]",5,"[5, 17, 36, 43, 62]",5,"[13, 27, 43, 55, 62]",5,"[5, 17, 36, 43, 62]",5,"[27, 43, 55, 62]",4,"[5, 17, 36]",3,[27],1,"[5, 17, 36]",3,[27],1,"[5, 17, 36]",3,[27],1,"[5, 17, 36]",3,[27],1,"[5, 17, 36]",3,[27],1,"[5, 17, 36]",3,[27],1
4,8,"[0, 6, 19, 20, 41, 47, 58]",7,"[0, 2, 19, 27, 41, 43, 53]",7,"[0, 6, 19, 20, 41, 47, 58]",7,"[0, 2, 19, 27, 41, 43, 53]",7,"[0, 19, 41, 47, 58]",5,"[0, 2, 19, 27, 41, 43, 53]",7,"[0, 19, 58]",3,"[0, 2, 19, 27, 41, 43, 53]",7,"[0, 19, 58]",3,"[0, 2, 19, 27, 41, 43, 53]",7,"[0, 19, 58]",3,"[0, 2, 19, 27, 41, 43, 53]",7,"[0, 19, 58]",3,"[0, 2, 27, 41, 43]",5,"[0, 19, 58]",3,"[0, 2, 43]",3,"[0, 19, 58]",3,[43],1,"[0, 19, 58]",3,[43],1,"[0, 19, 58]",3,[43],1
4,9,"[2, 11, 19, 20, 32, 38, 55]",7,"[2, 4, 13, 15, 38, 39, 43, 48]",8,"[2, 11, 19, 20, 32, 38, 55]",7,"[2, 4, 13, 15, 38, 39, 43, 48]",8,"[2, 11, 19, 20, 38, 55]",6,"[2, 4, 13, 15, 38, 39, 43, 48]",8,"[2, 11, 20, 38, 55]",5,"[2, 4, 13, 15, 38, 39, 43, 48]",8,"[2, 11, 20, 38, 55]",5,"[2, 4, 13, 15, 39, 43, 48]",7,"[2, 11, 20, 38, 55]",5,"[2, 4, 13, 15, 39, 43, 48]",7,"[2, 11, 20, 38, 55]",5,"[2, 4, 13, 39, 43, 48]",6,"[2, 20, 38, 55]",4,"[2, 4, 13, 39, 43, 48]",6,"[2, 20, 55]",3,"[2, 13, 39, 43]",4,"[2, 20, 55]",3,"[2, 13, 39, 43]",4,"[2, 20, 55]",3,"[39, 43]",2
4,10,"[4, 49, 54]",3,"[8, 11, 16, 18, 23, 27, 29, 36, 51, 54]",10,"[4, 49, 54]",3,"[8, 11, 16, 18, 23, 27, 29, 36, 51, 54]",10,"[4, 49, 54]",3,"[8, 11, 16, 18, 27, 29, 36, 51, 54]",9,"[4, 49, 54]",3,"[8, 11, 16, 18, 29, 36, 51, 54]",8,"[4, 49, 54]",3,"[8, 16, 18, 29, 36, 51, 54]",7,"[4, 49]",2,"[8, 18, 29, 36, 51, 54]",6,"[4, 49]",2,"[8, 18, 36, 51, 54]",5,[49],1,"[8, 18, 29, 36, 51, 54]",6,[49],1,"[8, 36, 51]",3,[49],1,"[8, 36, 51]",3,[49],1,"[8, 36, 51]",3
4,11,"[5, 6, 10, 31, 32, 42, 54]",7,"[5, 6, 10, 32, 42, 54]",6,"[5, 6, 10, 31, 32, 42, 54]",7,"[5, 6, 10, 32, 42, 54]",6,"[6, 10, 31, 32, 42]",5,"[6, 10, 32, 42]",4,"[6, 10, 31, 42]",4,"[6, 10, 42]",3,"[6, 10, 31, 42]",4,"[6, 10, 42]",3,"[6, 10, 31, 42]",4,"[6, 10, 42]",3,"[6, 10, 31, 42]",4,"[6, 42]",2,"[6, 10, 31, 42]",4,"[6, 42]",2,"[6, 10, 31, 42]",4,[42],1,"[6, 10, 31, 42]",4,[42],1,"[6, 31, 42]",3,[42],1
5,0,"[2, 15, 16, 20, 22, 23, 35, 45]",8,"[2, 16, 20, 22, 23, 35, 45]",7,"[2, 15, 16, 20, 22, 23, 35, 45]",8,"[2, 16, 20, 22, 23, 35, 45]",7,"[2, 15, 16, 22, 23, 35]",6,"[2, 16, 22, 23, 35, 45]",6,"[2, 15, 16, 22, 23, 35]",6,"[2, 16, 22, 23, 35, 45]",6,"[2, 15, 16, 22, 23, 35]",6,"[2, 16, 22, 23, 45]",5,"[2, 15, 16, 22, 23, 35]",6,"[2, 16, 23, 45]",4,"[2, 15, 16, 23, 35]",5,"[2, 16, 23]",3,"[2, 15, 16, 23, 35]",5,"[2, 16, 23]",3,"[15, 16, 23]",3,"[2, 23]",2,"[15, 16]",2,"[2, 23]",2,"[15, 16]",2,[23],1
5,1,"[0, 4, 13, 14, 21, 30, 43, 56]",8,"[0, 13, 14, 21, 30, 31]",6,"[0, 4, 13, 14, 21, 30, 43, 56]",8,"[0, 13, 14, 21, 30, 31]",6,"[0, 13, 14, 30, 43, 56]",6,"[0, 13, 14, 21, 30]",5,"[0, 13, 21, 30]",4,"[0, 13, 14, 21, 30]",5,"[0, 30]",2,"[0, 13, 14, 30]",4,[0],1,"[0, 14, 30]",3,[0],1,"[0, 21, 30]",3,[0],1,"[21, 30]",2,[0],1,[30],1,[0],1,[30],1,[],0,[],0
5,2,"[10, 12, 21, 23, 47, 62]",6,"[1, 10, 12, 19, 21, 25, 27, 49, 62]",9,"[10, 12, 21, 23, 47, 62]",6,"[1, 10, 12, 19, 21, 25, 27, 49, 62]",9,"[10, 12, 21, 47, 62]",5,"[1, 10, 12, 19, 21, 27, 49, 62]",8,"[10, 12, 21, 47, 62]",5,"[1, 10, 12, 19, 21, 27, 49, 62]",8,"[10, 12, 21, 47, 62]",5,"[1, 10, 12, 19, 21, 27, 49, 62]",8,"[10, 12, 21, 47, 62]",5,"[1, 10, 12, 19, 21, 27, 49, 62]",8,"[10, 12, 21, 47, 62]",5,"[1, 19, 21, 49, 62]",5,[47],1,"[1, 19, 49]",3,[47],1,"[19, 49]",2,[47],1,"[19, 49]",2,[47],1,"[19, 49]",2
5,3,"[1, 6, 22, 60, 62]",5,"[5, 13, 22, 23, 28, 33, 60]",7,"[1, 6, 22, 60, 62]",5,"[5, 13, 22, 23, 28, 33, 60]",7,"[1, 6, 60, 62]",4,"[5, 13, 23, 33]",4,"[1, 6, 60, 62]",4,"[5, 23, 33]",3,"[1, 6, 60, 62]",4,"[5, 33]",2,"[1, 6, 60]",3,[33],1,"[1, 6, 60]",3,"[28, 33]",2,"[1, 60]",2,"[28, 33]",2,"[1, 60]",2,"[28, 33]",2,[60],1,[],0,[60],1,[],0
5,4,"[4, 16, 17, 28, 29, 36, 59, 62]",8,"[2, 26, 27, 28, 29, 36, 40, 62]",8,"[4, 16, 17, 28, 29, 36, 59, 62]",8,"[2, 26, 27, 28, 29, 36, 40, 62]",8,"[4, 16, 17, 28, 29, 36, 62]",7,"[2, 26, 27, 28, 29, 36, 40]",7,"[4, 16, 17, 28, 36]",5,"[2, 26, 27, 28, 29, 36]",6,"[16, 17, 28, 36]",4,"[2, 26, 27, 28, 29, 36]",6,"[16, 17, 28, 36]",4,"[2, 26, 27]",3,"[16, 17, 28, 36]",4,"[2, 26, 27]",3,"[16, 17, 28]",3,"[2, 26, 27]",3,"[17, 28]",2,"[2, 26, 27]",3,[17],1,"[2, 26, 27]",3,[17],1,[2],1
5,5,"[10, 20, 30, 41, 57]",5,"[26, 30, 43, 57, 62]",5,"[10, 20, 30, 41, 57]",5,"[26, 30, 43, 57, 62]",5,"[10, 20, 41, 57]",4,"[26, 30, 43, 57, 62]",5,"[10, 30, 41, 57]",4,"[26, 30, 43, 57, 62]",5,"[10, 30, 41]",3,"[26, 30, 43, 57]",4,"[10, 30, 41]",3,"[26, 30, 43]",3,"[10, 30, 41]",3,"[30, 43, 62]",3,"[10, 30, 41]",3,"[30, 43, 62]",3,"[10, 30, 41]",3,"[30, 43, 62]",3,"[10, 30]",2,"[30, 43, 62]",3,"[10, 30]",2,"[30, 62]",2
5,6,"[0, 3, 4, 12, 25, 32, 54, 58]",8,"[0, 3, 4, 12, 18, 21, 25, 38]",8,"[0, 3, 4, 12, 25, 32, 54, 58]",8,"[0, 3, 4, 12, 18, 21, 25, 38]",8,"[0, 3, 4, 12, 25, 32, 54, 58]",8,"[0, 3, 4, 12, 21, 25]",6,"[0, 3, 4, 12, 25, 32, 54, 58]",8,"[0, 3, 4, 12, 25]",5,"[0, 3, 12, 25, 32, 54, 58]",7,"[0, 3, 4, 12, 25]",5,"[3, 12, 25, 32, 54, 58]",6,"[0, 3, 12, 25]",4,"[12, 25, 32, 54, 58]",5,"[0, 3, 12, 25]",4,"[12, 25, 32, 54, 58]",5,"[3, 12, 25]",3,"[12, 25, 32, 58]",4,"[12, 25]",2,"[12, 25, 32, 58]",4,"[12, 25]",2,"[12, 25, 32, 58]",4,"[18, 25]",2
5,7,"[0, 18, 19, 27, 37, 40, 58, 62]",8,"[0, 10, 13, 18, 25, 42, 58, 62]",8,"[0, 18, 19, 27, 37, 40, 58, 62]",8,"[0, 10, 13, 18, 25, 42, 58, 62]",8,"[0, 18, 19, 27, 37, 40, 58, 62]",8,"[0, 10, 13, 25, 42, 58, 62]",7,"[0, 19, 27, 40, 58, 62]",6,"[0, 10, 13, 25, 42, 58, 62]",7,"[0, 27, 40, 58, 62]",5,"[0, 10, 13, 25, 42, 58, 62]",7,"[0, 27, 40, 58, 62]",5,"[0, 10, 13, 25, 42, 58, 62]",7,"[0, 27, 40, 62]",4,"[0, 10, 13, 25, 42, 58, 62]",7,"[0, 40, 62]",3,"[0, 10, 13, 42, 58, 62]",6,[0],1,"[0, 10, 13, 42, 62]",5,[0],1,"[0, 10, 42, 62]",4,[0],1,"[0, 10, 13, 42]",4
5,8,"[5, 11, 18, 21, 26, 35, 53, 62, 63]",9,"[4, 18, 26, 36, 53, 58, 62]",7,"[5, 11, 18, 21, 26, 35, 53, 62, 63]",9,"[4, 18, 26, 36, 53, 58, 62]",7,"[11, 21, 26, 35, 53, 62, 63]",7,"[4, 18, 26, 36, 53, 58, 62]",7,"[21, 26, 35, 53, 62, 63]",6,"[4, 18, 26, 36, 53, 62]",6,"[21, 26, 53, 62, 63]",5,"[4, 18, 26, 36, 53, 62]",6,"[21, 26, 53, 62, 63]",5,"[4, 26, 36, 53, 62]",5,"[21, 26, 53, 62, 63]",5,"[4, 26, 36, 62]",4,"[26, 53, 62, 63]",4,"[4, 26, 36, 62]",4,"[26, 53, 62, 63]",4,"[4, 26, 36, 62]",4,"[53, 62, 63]",3,"[26, 36, 62]",3,"[62, 63]",2,"[26, 62]",2
5,9,"[20, 22, 37, 39, 47, 57]",6,"[14, 30, 31, 36, 37, 39, 47, 57]",8,"[20, 22, 37, 39, 47, 57]",6,"[14, 30, 31, 36, 37, 39, 47, 57]",8,"[20, 22, 47, 57]",4,"[30, 31, 36, 39, 47, 57]",6,"[20, 22, 57]",3,"[30, 31, 36, 39, 47, 57]",6,"[20, 22, 57]",3,"[30, 31, 36, 39, 47, 57]",6,"[20, 57]",2,"[30, 31, 36, 47, 57]",5,"[20, 57]",2,"[14, 30, 31, 36, 47, 57]",6,"[20, 57]",2,"[14, 30, 36, 47, 57]",5,"[20, 57]",2,"[14, 30, 36, 57]",4,[20],1,"[14, 30, 36, 57]",4,[],0,"[14, 36, 57]",3
5,10,"[6, 14, 16, 24, 48, 49, 52]",7,"[6, 14, 21, 28, 29, 52]",6,"[6, 14, 16, 24, 48, 49, 52]",7,"[6, 14, 21, 28, 29, 52]",6,"[6, 14, 24, 49, 52]",5,"[6, 14, 21, 28, 29, 52]",6,"[6, 14, 24, 49, 52]",5,"[14, 21, 28, 29, 52]",5,"[14, 24, 52]",3,"[14, 21, 28, 29, 52]",5,"[24, 52]",2,"[14, 21, 28, 29, 52]",5,"[24, 48, 52]",3,"[14, 21, 28, 29, 52]",5,"[48, 52]",2,"[21, 28, 29, 52]",4,"[16, 48]",2,"[21, 28, 29]",3,[48],1,"[21, 28, 29]",3,[48],1,"[21, 28, 29]",3
5,11,"[3, 5, 16, 22, 27, 41, 48, 50]",8,"[16, 22, 27, 29, 35, 36, 41, 45, 48]",9,"[3, 5, 16, 22, 27, 41, 48, 50]",8,"[16, 22, 27, 29, 35, 36, 41, 45, 48]",9,"[3, 22, 41, 48, 50]",5,"[16, 22, 27, 29, 35, 36, 41, 48]",8,"[3, 5, 22, 41, 48, 50]",6,"[16, 27, 29, 35, 36, 41, 48]",7,"[3, 5, 22, 41, 48, 50]",6,"[16, 27, 35, 36, 41, 48]",6,"[3, 5, 41, 50]",4,"[16, 27, 35, 41, 48]",5,"[5, 41, 50]",3,"[41, 48]",2,"[5, 41, 50]",3,"[41, 48]",2,"[5, 41, 50]",3,[41],1,"[5, 41, 50]",3,[41],1,"[5, 41, 50]",3,[41],1
6,0,"[33, 38, 48, 49]",4,"[6, 19, 32, 42, 44, 48, 60]",7,"[33, 38, 48, 49]",4,"[6, 19, 32, 42, 44, 48, 60]",7,"[33, 38, 48, 49]",4,"[19, 32, 42, 44, 48, 60]",6,"[33, 38, 48, 49]",4,"[19, 32, 42, 44, 48, 60]",6,[49],1,"[19, 32, 42, 44, 48, 60]",6,[49],1,"[19, 32, 42, 44, 60]",5,[49],1,"[19, 32, 42, 44, 60]",5,[49],1,"[19, 32, 42, 44, 60]",5,[49],1,"[19, 32, 42, 44, 60]",5,[49],1,"[19, 32, 42, 44, 60]",5,[],0,"[32, 42, 44, 60]",4
6,1,"[12, 14, 18, 22, 29, 30]",6,"[12, 17, 34, 39, 41]",5,"[12, 14, 18, 22, 29, 30]",6,"[12, 17, 34, 39, 41]",5,"[12, 14, 18, 22, 29, 30]",6,"[12, 17, 39, 41]",4,"[12, 14, 18, 22, 29, 30]",6,"[12, 17, 39, 41]",4,"[12, 14, 18, 22, 29, 30]",6,"[12, 17, 39, 41]",4,"[12, 14, 22, 29, 30]",5,"[12, 17, 39, 41]",4,"[12, 14, 22, 29, 30]",5,"[12, 17, 39, 41]",4,"[12, 22, 29, 30]",4,"[12, 39, 41]",3,"[12, 22, 29]",3,"[12, 39]",2,"[12, 29]",2,"[12, 39]",2,[29],1,[39],1
6,2,"[0, 10, 26, 30, 53, 55]",6,"[0, 25, 26, 30, 37, 55, 59]",7,"[0, 10, 26, 30, 53, 55]",6,"[0, 25, 26, 30, 37, 55, 59]",7,"[0, 10, 26, 30, 53, 55]",6,"[0, 25, 26, 30, 37, 55]",6,"[0, 10, 30, 55]",4,"[0, 25, 26, 30, 55]",5,"[0, 10, 55]",3,"[0, 25, 30, 55]",4,"[0, 10, 55]",3,"[0, 25, 30, 55]",4,"[0, 10, 55]",3,"[0, 25, 37, 55]",4,"[0, 10, 55]",3,"[0, 25, 30, 37, 55]",5,"[0, 10, 55]",3,"[0, 25, 37, 55]",4,"[0, 55]",2,"[0, 25, 37, 55]",4,"[0, 55]",2,"[0, 25, 37, 55]",4
6,3,"[10, 20, 23, 62]",4,"[5, 10, 20, 23, 62]",5,"[10, 20, 23, 62]",4,"[5, 10, 20, 23, 62]",5,"[10, 23, 62]",3,"[5, 10, 20, 23, 62]",5,"[10, 62]",2,"[5, 10, 20, 23]",4,[10],1,"[5, 10, 20, 23, 62]",5,[10],1,"[5, 10, 20, 23]",4,[10],1,"[5, 10, 20, 23]",4,[10],1,"[10, 20, 23]",3,[10],1,"[10, 20, 23]",3,[10],1,"[10, 20]",2,[10],1,[10],1
6,4,"[0, 14, 16, 29, 39, 51, 54]",7,"[0, 5, 18, 23, 29, 39, 42, 52]",8,"[0, 14, 16, 29, 39, 51, 54]",7,"[0, 5, 18, 23, 29, 39, 42, 52]",8,"[0, 14, 16, 39, 54]",5,"[5, 18, 23, 29, 39, 42, 52]",7,"[14, 16, 39, 54]",4,"[5, 18, 23, 29, 39, 42, 52]",7,"[14, 16, 39]",3,"[5, 18, 29, 39, 42, 52]",6,"[14, 16, 39, 54]",4,"[5, 18, 29, 39, 52]",5,"[0, 14, 16, 39]",4,"[5, 18, 39, 52]",4,"[14, 16, 39]",3,"[5, 18, 39, 52]",4,"[14, 16, 39]",3,"[5, 18, 39, 52]",4,"[14, 16, 51]",3,"[5, 18, 52]",3,"[14, 16, 51]",3,"[5, 18, 52]",3
6,5,"[16, 17, 40, 46, 50, 55]",6,"[28, 40, 50, 55, 60]",5,"[16, 17, 40, 46, 50, 55]",6,"[28, 40, 50, 55, 60]",5,"[17, 40, 46, 50, 55]",5,"[28, 40, 50, 60]",4,"[17, 40, 46, 50, 55]",5,"[28, 40, 50, 60]",4,"[17, 40, 46, 50, 55]",5,"[28, 40, 50, 60]",4,"[17, 40, 46, 50]",4,"[28, 40, 50, 60]",4,"[17, 40, 46, 50]",4,"[28, 40, 50, 60]",4,"[17, 40, 46, 50]",4,"[28, 40, 50]",3,"[17, 40, 50]",3,"[28, 40, 50]",3,"[17, 50]",2,"[28, 50]",2,"[17, 50]",2,"[28, 50]",2
6,6,"[0, 18, 31, 38, 52, 53]",6,"[2, 11, 19, 24, 36, 53, 54, 60, 63]",9,"[0, 18, 31, 38, 52, 53]",6,"[2, 11, 19, 24, 36, 53, 54, 60, 63]",9,"[0, 38, 52, 53]",4,"[2, 11, 24, 36, 53, 54, 60, 63]",8,"[0, 38]",2,"[2, 11, 24, 36, 53, 54, 60, 63]",8,"[0, 38, 53]",3,"[2, 11, 19, 24, 36, 53, 54, 60, 63]",9,"[0, 38, 53]",3,"[11, 19, 24, 36, 53, 54, 60, 63]",8,"[0, 38, 53]",3,"[11, 19, 24, 36, 53, 54, 60, 63]",8,[53],1,"[11, 19, 24, 36, 53, 54, 60, 63]",8,[53],1,"[2, 11, 19, 24, 36, 53, 54, 60, 63]",9,[53],1,"[2, 19, 24, 53, 54, 60, 63]",7,[53],1,"[2, 24, 53, 54, 60, 63]",6
6,7,"[19, 20, 23, 26, 30, 37, 49]",7,"[7, 19, 22, 25, 30, 49, 51, 59, 62]",9,"[19, 20, 23, 26, 30, 37, 49]",7,"[7, 19, 22, 25, 30, 49, 51, 59, 62]",9,"[19, 20, 23, 30, 37, 49]",6,"[7, 19, 22, 25, 30, 49, 51, 59, 62]",9,"[19, 20, 23, 30, 37, 49]",6,"[7, 19, 22, 25, 30, 49, 51, 59, 62]",9,"[20, 23, 26, 30, 37, 49]",6,"[7, 19, 22, 25, 30, 49, 51, 59, 62]",9,"[19, 20, 23, 26, 30, 37]",6,"[7, 19, 22, 25, 30, 49, 51, 59, 62]",9,"[19, 23, 26, 30, 37]",5,"[7, 19, 22, 25, 30, 49, 59, 62]",8,"[19, 23]",2,"[7, 19, 25, 49, 59, 62]",6,"[19, 23, 37]",3,"[7, 19, 25, 49, 59, 62]",6,"[23, 26, 30]",3,"[7, 19, 25, 49, 59, 62]",6,"[19, 23, 30]",3,"[19, 25, 49, 59, 62]",5
6,8,"[4, 12, 18, 25, 28, 45, 49]",7,"[12, 18, 28, 49]",4,"[4, 12, 18, 25, 28, 45, 49]",7,"[12, 18, 28, 49]",4,"[12, 18, 25, 28, 49]",5,"[12, 18, 28, 49]",4,"[12, 25, 28]",3,"[12, 28, 49]",3,"[12, 25, 28]",3,"[12, 28, 49]",3,"[12, 25, 28]",3,"[12, 28, 49]",3,"[12, 25, 28]",3,"[12, 28]",2,"[12, 25, 28]",3,[28],1,"[12, 25]",2,[],0,"[12, 25]",2,[],0,"[12, 25]",2,[],0
6,9,"[1, 14, 22, 24, 45, 54, 63]",7,"[0, 5, 7, 8, 22, 31, 33, 55, 56]",9,"[1, 14, 22, 24, 45, 54, 63]",7,"[0, 5, 7, 8, 22, 31, 33, 55, 56]",9,"[1, 22, 24, 45, 54]",5,"[0, 5, 7, 8, 22, 31, 33, 55, 56]",9,"[1, 22, 24, 54]",4,"[0, 5, 7, 8, 22, 31, 33, 55, 56]",9,"[22, 24, 54]",3,"[0, 5, 7, 8, 22, 31, 33, 55, 56]",9,"[22, 24, 54]",3,"[0, 5, 7, 8, 22, 31, 33, 55, 56]",9,"[22, 24, 54]",3,"[0, 5, 7, 8, 22, 33, 55, 56]",8,"[1, 22, 24, 54]",4,"[0, 5, 7, 8, 22, 33, 55, 56]",8,"[1, 22, 24, 54]",4,"[0, 5, 7, 8, 22, 55, 56]",7,"[1, 22, 24, 54]",4,"[0, 5, 8, 22, 55, 56]",6,"[1, 22, 24, 54]",4,"[0, 5, 8, 22, 55, 56]",6
6,10,"[3, 28, 43, 46, 57]",5,"[5, 6, 20, 38, 42, 53, 57, 60]",8,"[3, 28, 43, 46, 57]",5,"[5, 6, 20, 38, 42, 53, 57, 60]",8,"[3, 43, 57]",3,"[5, 6, 20, 38, 42, 53, 57, 60]",8,"[3, 28, 43, 46, 57]",5,"[5, 6, 20, 38, 42, 53, 57]",7,"[3, 28, 46, 57]",4,"[5, 6, 20, 38, 42, 53, 57]",7,"[28, 57]",2,"[5, 6, 20, 38, 42, 53, 57]",7,"[28, 57]",2,"[5, 6, 20, 38, 42, 53, 57]",7,"[28, 57]",2,"[5, 6, 20, 38, 42, 53, 57]",7,"[28, 57]",2,"[5, 6, 20, 38, 42, 53, 57]",7,[57],1,"[5, 6, 20, 38, 42, 53, 57, 60]",8,[57],1,"[5, 6, 20, 38, 53, 57, 60]",7
6,11,"[11, 25, 29, 49, 58, 59]",6,"[7, 15, 20, 26, 46, 58, 59]",7,"[11, 25, 29, 49, 58, 59]",6,"[7, 15, 20, 26, 46, 58, 59]",7,"[11, 25, 29, 49, 59]",5,"[7, 15, 20, 46, 58, 59]",6,"[11, 25, 49, 59]",4,"[7, 15, 20, 46, 58, 59]",6,"[11, 49, 59]",3,"[7, 15, 20, 46, 58, 59]",6,[59],1,"[7, 20, 46, 58, 59]",5,"[49, 59]",2,"[7, 20, 46, 58, 59]",5,"[11, 59]",2,"[7, 46, 58, 59]",4,"[11, 59]",2,"[7, 46, 58, 59]",4,"[11, 59]",2,"[7, 46, 58, 59]",4,"[11, 59]",2,"[7, 58, 59]",3
7,0,"[3, 19, 33, 35, 41, 51]",6,"[19, 26, 33, 42, 59]",5,"[3, 19, 33, 35, 41, 51]",6,"[19, 26, 33, 42, 59]",5,"[3, 35, 41, 51]",4,"[19, 26, 33, 42, 59]",5,"[3, 35, 41, 51]",4,"[26, 33, 42, 59]",4,"[3, 35]",2,"[26, 33, 42, 59]",4,[3],1,"[26, 33]",2,[3],1,"[26, 33]",2,[3],1,"[26, 33]",2,[3],1,"[26, 33]",2,[3],1,[26],1,[],0,[26],1
7,1,"[2, 14, 21, 31, 34, 35, 62]",7,"[2, 11, 21, 36, 41, 52]",6,"[2, 14, 21, 31, 34, 35, 62]",7,"[2, 11, 21, 36, 41, 52]",6,"[14, 21, 31, 34, 62]",5,"[2, 11, 21, 41, 52]",5,"[14, 31, 34, 62]",4,"[2, 11, 21, 41, 52]",5,"[14, 21, 31, 34, 62]",5,"[2, 11, 21, 41, 52]",5,"[14, 21, 31, 34, 62]",5,"[2, 11, 21, 41, 52]",5,"[14, 21, 31, 34, 62]",5,"[2, 11, 21, 41, 52]",5,"[14, 31, 34, 62]",4,"[2, 11, 21, 41, 52]",5,"[31, 34, 62]",3,"[2, 11, 21, 41, 52]",5,"[34, 62]",2,"[41, 52]",2,[],0,[41],1
7,2,"[8, 11, 18, 33, 48]",5,"[5, 8, 11, 13, 18, 23, 33, 47, 48]",9,"[8, 11, 18, 33, 48]",5,"[5, 8, 11, 13, 18, 23, 33, 47, 48]",9,"[5, 8, 18]",3,"[5, 8, 11, 13, 18, 23, 33, 47, 48]",9,"[8, 18]",2,"[5, 8, 11, 13, 18, 23, 33, 47, 48]",9,"[8, 18]",2,"[5, 8, 11, 13, 18, 23, 33, 47, 48]",9,[18],1,"[5, 8, 11, 13, 18, 33, 47, 48]",8,[18],1,"[5, 11, 13, 18, 23, 33, 47, 48]",8,[18],1,"[5, 11, 13, 18, 23, 33, 47, 48]",8,"[18, 33]",2,"[5, 11, 13, 18, 23, 33, 47]",7,[18],1,"[11, 13, 18, 23, 33, 47]",6,"[18, 33]",2,"[5, 11, 13, 18, 23, 33, 47]",7
7,3,"[11, 30, 45, 47, 52]",5,"[10, 15, 18, 25, 30, 33, 40, 45, 52]",9,"[11, 30, 45, 47, 52]",5,"[10, 15, 18, 25, 30, 33, 40, 45, 52]",9,"[11, 30, 47, 52]",4,"[10, 18, 30, 33, 40, 45, 52]",7,"[11, 30, 47, 52]",4,"[10, 18, 30, 33, 40, 45, 52]",7,"[11, 30, 47, 52]",4,"[10, 15, 30, 40, 45, 52]",6,"[11, 30, 47, 52]",4,"[10, 30, 40, 45, 52]",5,"[11, 30, 47, 52]",4,"[10, 30, 40, 45, 52]",5,"[11, 30, 47, 52]",4,"[15, 30, 40, 45, 52]",5,"[30, 47, 52]",3,"[10, 15, 30, 45, 52]",5,"[30, 47, 52]",3,"[15, 30, 40, 45, 52]",5,"[47, 52]",2,"[15, 30, 52]",3
7,4,"[1, 6, 19, 24, 44, 48, 53, 54]",8,"[5, 7, 13, 18, 20, 53, 62]",7,"[1, 6, 19, 24, 44, 48, 53, 54]",8,"[5, 7, 13, 18, 20, 53, 62]",7,"[1, 6, 19, 24, 44, 48, 53, 54]",8,"[5, 13, 20, 53, 62]",5,"[1, 6, 19, 24, 44, 48, 53, 54]",8,"[13, 20, 53, 62]",4,"[1, 6, 19, 24, 44, 48, 53]",7,"[13, 20, 53, 62]",4,"[1, 6, 19, 24, 44, 53]",6,"[13, 20, 53, 62]",4,"[1, 6, 19, 24, 44, 53]",6,"[13, 20, 53, 62]",4,"[1, 6, 19, 24, 44, 53]",6,"[13, 20, 53, 62]",4,"[1, 6, 19, 24, 44, 53]",6,"[13, 20, 53, 62]",4,"[1, 6, 24, 53]",4,"[13, 62]",2,"[1, 53]",2,"[13, 62]",2
7,5,"[12, 27, 63]",3,"[4, 10, 11, 12, 14, 27, 32, 60, 62]",9,"[12, 27, 63]",3,"[4, 10, 11, 12, 14, 27, 32, 60, 62]",9,"[12, 27, 63]",3,"[4, 11, 12, 14, 27, 32, 60, 62]",8,"[12, 27, 63]",3,"[4, 10, 11, 12, 27, 32, 60, 62]",8,"[12, 27, 63]",3,"[4, 10, 11, 12, 27, 32, 60, 62]",8,"[12, 27, 63]",3,"[4, 10, 11, 12, 14, 27, 32, 60, 62]",9,"[12, 27, 63]",3,"[4, 10, 11, 12, 27, 32, 60]",7,"[12, 27]",2,"[4, 10, 11, 12, 27, 32]",6,"[12, 27]",2,"[4, 10, 11, 12, 27, 32]",6,[12],1,"[4, 10, 11, 12, 27, 32, 60]",7,[12],1,"[4, 10, 11, 12, 27, 32, 60]",7
