,,CLASS 1 (clean images),,,,"k = 5, s = 1.0",,,,"k = 5, s = 2.0",,,,"k = 5, s = 4.0",,,,"k = 5, s = 9.0",,,,"k = 7, s = 2.0",,,,"k = 7, s = 4.0",,,,"k = 7, s = 13.5",,,,"k = 7, s = 15.0",,,,"k = 11, s = 2.0",,,,"k = 11, s = 5.0",,,
layer,head,patch_common_features_cls1,patch_count_cls1,cls_common_features_cls1,cls_count_cls1,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count
1,7,"[16, 20, 34, 38, 54, 57]",6,"[2, 8, 16, 20, 34, 38, 39, 42, 44]",9,"[16, 34, 38, 57]",4,"[8, 16, 39]",3,"[16, 34, 38, 57]",4,"[8, 16, 39]",3,"[34, 38, 57]",3,"[8, 16, 39]",3,"[34, 38, 57]",3,"[8, 16, 39]",3,"[34, 57]",2,"[8, 16, 39]",3,"[34, 57]",2,"[8, 16, 39]",3,"[34, 38, 57]",3,"[8, 16, 39]",3,"[34, 38, 57]",3,"[8, 16, 39]",3,"[34, 57]",2,"[8, 16, 39]",3,[57],1,"[8, 39, 42]",3
1,8,"[5, 19, 22, 30, 33, 34, 61]",7,"[5, 19, 30, 33, 34, 49, 57, 61]",8,"[5, 19, 30, 33, 34]",5,"[5, 30, 33, 34, 57]",5,"[5, 30, 33, 34]",4,"[5, 30, 33, 34]",4,"[5, 30, 33, 34]",4,"[5, 30, 33, 34]",4,"[5, 30, 33, 34]",4,"[5, 30, 33, 34]",4,"[5, 30, 33, 34]",4,"[5, 30, 33, 34]",4,"[5, 30, 33, 34]",4,"[5, 30, 33, 34]",4,"[5, 30, 33, 34]",4,"[5, 30, 33, 34]",4,"[5, 30, 33, 34]",4,"[5, 30, 33, 34]",4,"[5, 30, 33, 34]",4,"[5, 30, 33, 34]",4,"[5, 30, 33]",3,"[5, 30, 33]",3
1,9,"[10, 15, 27, 28, 35, 52, 56]",7,"[3, 10, 15, 27, 28, 52, 56]",7,"[28, 56]",2,"[28, 52, 56]",3,"[28, 56]",2,[56],1,"[28, 56]",2,[56],1,"[28, 56]",2,[56],1,"[28, 56]",2,[56],1,"[28, 56]",2,"[52, 56]",2,"[28, 56]",2,[56],1,"[28, 56]",2,[56],1,"[28, 56]",2,[56],1,"[28, 52, 56]",3,"[52, 56]",2
1,10,"[15, 21, 24, 44, 61, 63]",6,"[6, 12, 15, 20, 21, 24, 44, 47, 61]",9,"[21, 24, 61]",3,"[6, 12, 21, 24, 47, 61]",6,"[21, 24, 61]",3,"[6, 12, 21, 24, 47, 61]",6,"[21, 24, 61]",3,"[6, 12, 21, 24, 47, 61]",6,"[21, 24, 61]",3,"[6, 12, 21, 24, 47, 61]",6,"[21, 24, 61]",3,"[6, 12, 21, 24, 47, 61]",6,"[21, 24, 61]",3,"[6, 12, 21, 24, 61]",5,"[21, 24, 61]",3,"[6, 12, 21, 24, 61]",5,"[21, 24, 61]",3,"[6, 12, 21, 24, 61]",5,"[21, 24, 61]",3,"[6, 12, 21, 24, 61]",5,"[21, 24, 61]",3,"[6, 12, 21, 24, 44, 61]",6
1,11,"[2, 6, 13, 15, 21, 33, 52]",7,"[2, 7, 13, 15, 18, 21, 48, 52, 54]",9,"[6, 13, 15, 21, 52]",5,"[7, 15, 18, 21, 52]",5,"[13, 15, 21]",3,"[7, 18]",2,"[13, 15, 21]",3,"[7, 18, 21]",3,"[13, 15, 21]",3,"[7, 18]",2,"[13, 15, 21]",3,"[7, 18]",2,"[13, 21, 33]",3,"[7, 18]",2,"[13, 21, 33]",3,"[7, 18]",2,"[13, 21, 33]",3,"[7, 18]",2,"[13, 21, 33]",3,"[7, 18]",2,"[13, 33]",2,"[7, 13, 18]",3
2,0,"[23, 26, 30, 40, 41, 45, 56, 57, 59]",9,"[12, 26, 30, 41, 45, 56, 57, 59]",8,"[23, 26, 41, 57, 59]",5,"[26, 41, 57]",3,"[23, 26, 41, 45, 57]",5,"[26, 41, 45, 57]",4,"[26, 41, 45, 57]",4,"[26, 41, 45, 57]",4,"[26, 41, 45, 57]",4,"[26, 41, 45, 57]",4,"[26, 41, 45, 57]",4,"[26, 41, 45, 57]",4,"[26, 41, 45, 57]",4,"[26, 41, 45, 57]",4,"[26, 41, 45, 57]",4,"[26, 41, 45, 57]",4,"[26, 41, 45, 57]",4,"[26, 41, 45, 57]",4,"[26, 41, 45, 57]",4,"[26, 41, 45, 57]",4,"[26, 41, 45, 57]",4,"[26, 41, 45, 57]",4
2,1,"[10, 15, 29, 35, 51, 55, 59]",7,"[10, 15, 29, 35, 51, 55, 59]",7,"[29, 51, 55, 59]",4,"[29, 35, 51, 55, 59]",5,"[29, 55, 59]",3,"[29, 55, 59]",3,"[29, 55, 59]",3,"[29, 35, 55, 59]",4,"[29, 55]",2,"[29, 35, 55]",3,"[29, 55, 59]",3,"[29, 35, 55, 59]",4,"[29, 35, 55]",3,"[29, 35, 55, 59]",4,"[29, 55]",2,"[29, 35, 55, 59]",4,"[29, 55]",2,"[29, 35, 55, 59]",4,"[29, 55, 59]",3,"[29, 35, 55, 59]",4,"[29, 51, 55]",3,"[29, 55]",2
2,2,"[3, 11, 18, 26, 27, 28, 29, 33, 34, 37]",10,"[3, 11, 26, 28, 29, 35, 60]",7,"[3, 26, 28, 29]",4,"[11, 26, 28, 29, 35]",5,"[26, 29]",2,"[11, 26, 28, 29, 35]",5,"[26, 29]",2,"[11, 26, 28, 29, 35]",5,"[26, 29]",2,"[11, 26, 28, 29, 35]",5,"[26, 29]",2,"[11, 26, 29, 35]",4,"[26, 29]",2,"[11, 26, 29, 35]",4,"[26, 29]",2,"[11, 26, 29, 35]",4,"[26, 29]",2,"[11, 26, 29, 35]",4,"[26, 29]",2,"[11, 26, 29, 35]",4,"[26, 29]",2,"[11, 26, 29, 35]",4
2,3,"[5, 41, 44, 45, 53, 61]",6,"[5, 45, 53, 58, 61]",5,"[5, 41, 45]",3,"[5, 45]",2,[5],1,[],0,[5],1,[5],1,[5],1,[5],1,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0
2,4,"[7, 8, 24, 27, 29, 32, 35, 42, 59]",9,"[4, 6, 7, 14, 24, 29, 34, 36, 42]",9,"[7, 24, 27, 32, 42]",5,"[4, 6, 7, 14, 24, 29, 34, 36, 42]",9,"[7, 24, 27, 32, 42]",5,"[4, 6, 7, 14, 24, 34, 36, 42]",8,"[7, 24, 27, 32, 42]",5,"[4, 6, 7, 14, 24, 34, 36, 42]",8,"[7, 24, 27, 32, 42]",5,"[4, 6, 7, 14, 24, 34, 36, 42]",8,"[7, 24, 27, 32, 42]",5,"[4, 6, 14, 24, 34, 42]",6,"[7, 24, 27, 32]",4,"[4, 6, 14, 24, 34, 42]",6,"[7, 24, 27, 32]",4,"[4, 6, 14, 24, 34, 42]",6,"[7, 24, 27, 32]",4,"[4, 6, 14, 24, 34, 42]",6,"[7, 24, 27, 32, 42]",5,"[4, 6, 14, 24, 34, 42]",6,"[24, 32]",2,"[4, 6, 14, 24, 29, 34, 42]",7
