layer,head,patch_common_features_k5_s1.0_cls1,patch_count_k5_s1.0_cls1,cls_common_features_k5_s1.0_cls1,cls_count_k5_s1.0_cls1,patch_common_features_k5_s2.0_cls1,patch_count_k5_s2.0_cls1,cls_common_features_k5_s2.0_cls1,cls_count_k5_s2.0_cls1,patch_common_features_k5_s4.0_cls1,patch_count_k5_s4.0_cls1,cls_common_features_k5_s4.0_cls1,cls_count_k5_s4.0_cls1,patch_common_features_k5_s9.0_cls1,patch_count_k5_s9.0_cls1,cls_common_features_k5_s9.0_cls1,cls_count_k5_s9.0_cls1,patch_common_features_k7_s2.0_cls1,patch_count_k7_s2.0_cls1,cls_common_features_k7_s2.0_cls1,cls_count_k7_s2.0_cls1,patch_common_features_k7_s4.0_cls1,patch_count_k7_s4.0_cls1,cls_common_features_k7_s4.0_cls1,cls_count_k7_s4.0_cls1,patch_common_features_k7_s13.5_cls1,patch_count_k7_s13.5_cls1,cls_common_features_k7_s13.5_cls1,cls_count_k7_s13.5_cls1,patch_common_features_k7_s15.0_cls1,patch_count_k7_s15.0_cls1,cls_common_features_k7_s15.0_cls1,cls_count_k7_s15.0_cls1,patch_common_features_k11_s2.0_cls1,patch_count_k11_s2.0_cls1,cls_common_features_k11_s2.0_cls1,cls_count_k11_s2.0_cls1,patch_common_features_k11_s5.0_cls1,patch_count_k11_s5.0_cls1,cls_common_features_k11_s5.0_cls1,cls_count_k11_s5.0_cls1
1,10,"[6, 12, 17, 19, 21, 24, 39, 47, 61]",9,"[6, 12, 17, 19, 21, 24, 31, 39, 47, 61]",10,"[6, 12, 17, 19, 21, 24, 47, 61]",8,"[6, 12, 17, 19, 21, 24, 29, 39, 47, 61]",10,"[6, 12, 17, 19, 21, 24, 47, 61]",8,"[6, 12, 17, 19, 21, 24, 29, 39, 47, 61]",10,"[6, 12, 17, 19, 21, 24, 47, 61]",8,"[6, 12, 17, 19, 21, 24, 29, 39, 47, 61]",10,"[6, 12, 17, 19, 21, 24, 26, 47, 61]",9,"[6, 12, 17, 19, 21, 24, 29, 47, 61]",9,"[6, 12, 17, 19, 21, 24, 26, 47, 61]",9,"[6, 12, 17, 19, 21, 24, 29, 61]",8,"[6, 12, 17, 19, 21, 24, 26, 47, 61]",9,"[6, 12, 17, 19, 21, 24, 29, 61]",8,"[6, 12, 17, 19, 21, 24, 26, 47, 61]",9,"[6, 12, 17, 19, 21, 24, 29, 61]",8,"[6, 12, 17, 19, 21, 24, 26, 47, 61]",9,"[6, 12, 17, 19, 21, 24, 29, 61]",8,"[6, 12, 17, 19, 21, 24, 26, 61]",8,"[6, 12, 17, 19, 21, 24, 26, 29, 44, 61]",10
1,11,"[1, 3, 6, 7, 13, 15, 18, 21, 52]",9,"[1, 3, 6, 7, 15, 18, 21, 50, 51, 52, 59]",11,"[3, 7, 12, 13, 15, 18, 21, 27, 29]",9,"[1, 3, 6, 7, 18, 27, 50, 59]",8,"[3, 7, 12, 13, 15, 18, 21, 27, 29]",9,"[1, 3, 7, 18, 21, 27, 50, 59]",8,"[3, 7, 12, 13, 15, 18, 21, 27, 29]",9,"[1, 3, 7, 18, 27, 29, 50, 59]",8,"[3, 7, 12, 13, 15, 18, 21, 27, 29]",9,"[3, 7, 12, 18, 27, 29, 50, 59]",8,"[3, 7, 12, 13, 18, 21, 27, 29, 33, 48]",10,"[3, 7, 12, 18, 27, 29, 50]",7,"[3, 7, 12, 13, 18, 21, 27, 29, 33, 48]",10,"[3, 7, 12, 18, 27, 29, 50]",7,"[3, 7, 12, 13, 18, 21, 27, 29, 33, 48]",10,"[3, 7, 12, 18, 27, 29, 50]",7,"[3, 7, 12, 13, 18, 21, 27, 29, 33, 48]",10,"[3, 7, 12, 18, 27, 29, 50]",7,"[3, 7, 12, 13, 18, 27, 29, 33, 48]",9,"[3, 7, 12, 13, 18, 27, 29, 33, 50]",9
2,0,"[0, 18, 23, 24, 26, 28, 41, 57, 59, 60]",10,"[0, 18, 23, 24, 26, 28, 41, 57, 60]",9,"[5, 18, 23, 24, 26, 28, 41, 45, 57, 60]",10,"[18, 23, 24, 26, 28, 41, 45, 57, 60]",9,"[5, 18, 24, 26, 28, 41, 45, 57, 60]",9,"[5, 18, 23, 24, 26, 28, 41, 45, 57, 60]",10,"[5, 18, 24, 26, 28, 41, 45, 57, 60]",9,"[5, 18, 24, 26, 28, 41, 45, 57, 60]",9,"[5, 16, 18, 24, 26, 28, 41, 45, 57, 60]",10,"[5, 18, 24, 26, 28, 41, 45, 57, 60]",9,"[5, 16, 18, 24, 26, 28, 41, 45, 57, 60]",10,"[5, 16, 18, 24, 26, 28, 41, 45, 57, 60]",10,"[5, 16, 18, 24, 26, 28, 41, 45, 57, 60]",10,"[5, 16, 18, 24, 26, 28, 41, 45, 57, 60]",10,"[5, 16, 18, 24, 26, 28, 41, 45, 57, 60]",10,"[5, 16, 18, 24, 26, 28, 41, 45, 57, 60]",10,"[5, 16, 18, 24, 26, 28, 41, 45, 57, 60]",10,"[5, 16, 18, 24, 26, 28, 41, 45, 57, 60]",10,"[5, 16, 18, 24, 26, 28, 41, 45, 57, 60]",10,"[5, 16, 18, 24, 26, 28, 34, 41, 45, 57, 60]",11
2,1,"[11, 29, 31, 34, 51, 55, 59]",7,"[11, 29, 31, 34, 35, 51, 54, 55, 59]",9,"[1, 11, 29, 31, 34, 54, 55, 59, 61]",9,"[1, 11, 29, 31, 34, 54, 55, 59, 61]",9,"[1, 11, 29, 31, 34, 54, 55, 59, 61]",9,"[1, 29, 34, 35, 54, 55, 59, 61]",8,"[1, 11, 29, 31, 34, 54, 55, 61]",8,"[1, 29, 34, 35, 54, 55, 61]",7,"[1, 29, 31, 34, 54, 55, 59, 61]",8,"[1, 29, 31, 34, 35, 41, 54, 55, 59, 61]",10,"[1, 22, 29, 31, 34, 35, 54, 55, 61]",9,"[1, 29, 34, 35, 41, 54, 55, 59, 61]",9,"[1, 22, 29, 34, 54, 55, 61]",7,"[1, 29, 34, 35, 54, 55, 59, 61]",8,"[1, 22, 29, 34, 54, 55, 61]",7,"[1, 29, 34, 35, 54, 55, 59, 61]",8,"[1, 29, 31, 34, 41, 54, 55, 59, 61]",9,"[1, 29, 34, 35, 41, 54, 55, 59, 61]",9,"[1, 29, 34, 41, 51, 54, 55, 61]",8,"[1, 29, 34, 41, 54, 55, 61]",7
2,2,"[3, 26, 28, 29, 35, 39, 43, 48]",8,"[11, 26, 28, 29, 35, 43, 57]",7,"[4, 26, 29, 35, 41, 43, 57]",7,"[11, 26, 28, 29, 35, 43, 57]",7,"[4, 26, 29, 35, 41, 43, 57]",7,"[11, 26, 28, 29, 35, 43]",6,"[4, 26, 29, 35, 41, 43, 57]",7,"[11, 15, 26, 28, 29, 35, 43]",7,"[4, 26, 29, 35, 41, 43, 50, 57]",8,"[4, 11, 15, 26, 29, 35, 40, 43, 50, 57]",10,"[4, 15, 26, 29, 35, 41, 43, 50, 57]",9,"[11, 15, 26, 29, 35, 40, 43, 50]",8,"[4, 15, 26, 29, 35, 41, 43, 50, 57]",9,"[11, 15, 26, 29, 35, 40, 43, 50]",8,"[4, 15, 26, 29, 35, 41, 43, 50, 57]",9,"[11, 15, 26, 29, 35, 40, 43, 50]",8,"[4, 26, 29, 35, 41, 43, 50, 57]",8,"[4, 11, 15, 26, 29, 35, 40, 41, 43, 50]",10,"[24, 26, 29, 35, 40, 41, 43, 50, 57]",9,"[11, 15, 26, 29, 35, 40, 41, 43, 50]",9
2,3,"[2, 5, 6, 19, 23, 41, 45, 51]",8,"[5, 6, 19, 45, 51]",5,"[5, 6, 14, 19, 20, 25, 51]",7,"[3, 6, 14, 19, 20, 25, 51]",7,"[5, 6, 14, 19, 20, 25, 51]",7,"[5, 6, 14, 19, 20, 25, 35, 51]",8,"[5, 6, 14, 19, 20, 25, 51]",7,"[5, 6, 14, 19, 20, 25, 51]",7,"[3, 6, 14, 19, 20, 25, 51]",7,"[3, 6, 14, 19, 20, 25, 27, 51, 62]",9,"[6, 14, 19, 20, 25, 51]",6,"[3, 6, 14, 19, 20, 25, 27, 51, 62]",9,"[6, 14, 19, 20, 25, 51]",6,"[6, 14, 19, 20, 25, 27, 51, 62]",8,"[6, 14, 19, 20, 25, 51]",6,"[6, 14, 19, 20, 25, 27, 51, 62]",8,"[6, 14, 19, 20, 25, 27, 51]",7,"[3, 6, 14, 19, 20, 25, 27, 51, 62]",9,"[3, 6, 19, 20, 24, 25, 27, 51, 62]",9,"[3, 6, 14, 17, 19, 20, 24, 25, 27, 51, 62]",11
2,4,"[7, 24, 27, 32, 36, 40, 42]",7,"[4, 6, 7, 14, 24, 27, 29, 34, 36, 40, 42]",11,"[4, 6, 7, 24, 27, 28, 32, 34, 40, 42]",10,"[4, 6, 7, 14, 24, 27, 34, 36, 40, 42]",10,"[4, 7, 14, 24, 27, 32, 34, 40, 42]",9,"[4, 6, 7, 14, 24, 27, 34, 36, 40, 42]",10,"[4, 7, 14, 24, 27, 32, 34, 40, 42]",9,"[4, 6, 7, 14, 24, 27, 34, 36, 40, 42]",10,"[4, 6, 7, 24, 27, 28, 32, 34, 40, 42]",10,"[4, 6, 14, 24, 27, 28, 34, 40, 42]",9,"[4, 6, 7, 14, 24, 27, 28, 32, 34, 40]",10,"[4, 6, 14, 24, 27, 28, 34, 40, 42]",9,"[4, 6, 7, 14, 24, 27, 28, 32, 34, 40]",10,"[4, 6, 14, 24, 27, 34, 40, 42]",8,"[4, 6, 7, 14, 24, 27, 28, 32, 34, 40]",10,"[4, 6, 14, 24, 27, 34, 40, 42]",8,"[4, 6, 7, 14, 24, 27, 28, 32, 34, 40, 42]",11,"[4, 6, 14, 24, 27, 28, 34, 40, 42]",9,"[4, 6, 14, 24, 28, 32, 34, 40]",8,"[4, 6, 14, 24, 27, 28, 29, 34, 40, 42]",10
2,5,"[13, 19, 28, 45, 48, 54]",6,"[13, 19, 28, 30, 46, 48, 54]",7,"[19, 20, 30, 54, 55, 56]",6,"[19, 20, 30, 39, 54, 55, 56]",7,"[19, 20, 30, 39, 45, 54, 55, 56]",8,"[19, 20, 30, 39, 54, 55, 56]",7,"[19, 20, 30, 39, 45, 54, 55, 56]",8,"[19, 20, 30, 39, 54, 55, 56]",7,"[19, 20, 24, 30, 39, 54, 55, 56]",8,"[19, 20, 24, 30, 39, 55, 56]",7,"[19, 20, 24, 26, 30, 39, 45, 52, 53, 54, 55, 56]",12,"[19, 20, 24, 30, 39, 52, 53, 55, 56]",9,"[20, 26, 30, 39, 45, 52, 53, 54, 55, 56]",10,"[20, 24, 30, 39, 52, 53, 55, 56]",8,"[20, 26, 30, 39, 45, 52, 53, 54, 55, 56]",10,"[20, 24, 30, 39, 52, 53, 55, 56]",8,"[19, 20, 24, 30, 39, 52, 53, 55, 56]",9,"[20, 24, 30, 39, 52, 53, 55, 56]",8,"[20, 24, 30, 39, 52, 53, 55, 56]",8,"[20, 24, 30, 39, 52, 53, 55, 56]",8
2,6,"[12, 16, 33, 37, 38, 39, 53, 56, 58, 61]",10,"[12, 16, 33, 37, 38, 39, 53, 56, 58]",9,"[16, 19, 33, 37, 38, 39, 53, 56, 58, 61]",10,"[16, 19, 33, 37, 38, 39, 53, 56, 58]",9,"[16, 19, 33, 37, 38, 39, 53, 56, 58, 61]",10,"[16, 19, 33, 37, 38, 39, 53, 56, 58, 61]",10,"[16, 19, 33, 37, 38, 39, 53, 56, 58, 61]",10,"[16, 19, 33, 37, 38, 39, 53, 56, 58, 61]",10,"[16, 19, 33, 37, 38, 39, 53, 56, 58, 61]",10,"[16, 19, 33, 37, 38, 39, 53, 56, 58, 61]",10,"[16, 19, 33, 37, 38, 39, 53, 56, 58, 61]",10,"[16, 19, 33, 37, 38, 39, 53, 56, 58, 61]",10,"[16, 19, 33, 37, 38, 39, 53, 56, 58, 61]",10,"[16, 19, 33, 37, 38, 39, 53, 56, 58, 61]",10,"[16, 19, 33, 37, 38, 39, 53, 56, 58, 61]",10,"[16, 19, 33, 37, 38, 39, 53, 56, 58, 61]",10,"[16, 19, 33, 37, 38, 39, 53, 56, 58, 61]",10,"[16, 19, 33, 37, 39, 53, 56, 58, 61]",9,"[16, 19, 23, 33, 37, 39, 53, 56, 58, 61]",10,"[16, 19, 23, 33, 37, 39, 53, 56, 58, 61]",10
2,7,"[1, 21, 32, 48, 50, 56, 58, 61]",8,"[1, 3, 21, 32, 50, 58, 61]",7,"[1, 3, 20, 21, 27, 50, 56, 58, 61]",9,"[1, 3, 20, 21, 50, 58, 61]",7,"[1, 3, 20, 21, 27, 50, 56, 58, 61]",9,"[1, 3, 21, 50, 58, 61]",6,"[1, 3, 20, 21, 27, 50, 56, 58, 61]",9,"[1, 3, 50, 58, 61]",5,"[1, 3, 21, 27, 50, 56, 58, 61]",8,"[1, 3, 15, 21, 50, 58, 61]",7,"[1, 3, 21, 27, 31, 50, 56, 58, 61]",9,"[1, 3, 15, 50, 58, 61]",6,"[1, 3, 21, 27, 31, 50, 53, 56, 58, 61]",10,"[1, 3, 15, 50, 58, 61]",6,"[1, 3, 21, 27, 31, 50, 53, 56, 58, 61]",10,"[1, 3, 15, 50, 58, 61]",6,"[1, 3, 21, 27, 50, 56, 58, 61]",8,"[1, 3, 15, 27, 50, 58, 61]",7,"[1, 3, 27, 31, 50, 53, 56, 58, 61]",9,"[1, 3, 15, 27, 31, 50, 53, 58, 61]",9
2,8,"[2, 4, 23, 31, 34, 48, 49, 52, 56]",9,"[2, 4, 23, 31, 34, 48, 49, 52, 56]",9,"[4, 23, 31, 34, 48, 49, 52, 56]",8,"[4, 23, 31, 34, 48, 49, 56]",7,"[4, 23, 31, 34, 48, 49, 56]",7,"[4, 23, 31, 34, 48, 49, 56, 63]",8,"[4, 23, 31, 34, 48, 49, 56]",7,"[4, 23, 31, 34, 48, 49, 56, 63]",8,"[4, 17, 23, 31, 34, 48, 49, 56, 60, 63]",10,"[4, 17, 23, 31, 34, 48, 49, 56, 58, 63]",10,"[4, 17, 23, 31, 34, 48, 49, 56, 58, 63]",10,"[4, 17, 23, 31, 34, 48, 49, 56, 58, 63]",10,"[4, 17, 23, 31, 34, 48, 49, 56, 58, 63]",10,"[4, 17, 23, 31, 34, 48, 49, 56, 58, 63]",10,"[4, 17, 23, 31, 34, 48, 49, 56, 58, 63]",10,"[4, 17, 23, 31, 34, 48, 49, 56, 58, 63]",10,"[4, 17, 23, 31, 34, 48, 49, 56, 60, 63]",10,"[4, 17, 23, 31, 34, 48, 49, 56, 58, 63]",10,"[4, 17, 23, 31, 34, 48, 49, 58, 63]",9,"[4, 17, 23, 31, 34, 48, 49, 56, 58, 63]",10
2,9,"[11, 17, 20, 21, 29, 36, 49, 56, 58]",9,"[11, 17, 20, 21, 29, 32, 36, 49, 56, 58]",10,"[4, 20, 21, 29, 36, 49, 56, 58]",8,"[17, 20, 21, 29, 36, 42, 49, 56]",8,"[20, 21, 27, 29, 36, 42, 49, 56, 58]",9,"[17, 20, 21, 32, 36, 42, 49, 56]",8,"[20, 21, 27, 29, 36, 42, 49, 56, 58]",9,"[17, 20, 21, 32, 36, 42, 49, 56]",8,"[4, 20, 21, 27, 29, 36, 42, 49, 56, 58]",10,"[20, 21, 27, 29, 36, 42, 49, 56]",8,"[20, 21, 27, 35, 36, 42, 49, 56, 58]",9,"[20, 21, 27, 36, 42, 49, 56]",7,"[20, 21, 27, 35, 36, 42, 49, 56, 58]",9,"[20, 21, 27, 36, 42, 49, 56]",7,"[20, 21, 27, 35, 36, 42, 49, 56, 58]",9,"[20, 21, 27, 36, 42, 49, 56]",7,"[20, 21, 27, 35, 36, 42, 49, 56, 58]",9,"[20, 21, 27, 29, 36, 42, 49, 56]",8,"[20, 21, 27, 35, 36, 44, 49, 56]",8,"[20, 21, 27, 36, 44, 49, 56]",7
2,10,"[0, 10, 12, 15, 19, 20, 21, 54, 58]",9,"[0, 10, 12, 15, 19, 20, 21, 54]",8,"[0, 10, 12, 15, 19, 20, 21, 44, 54, 60]",10,"[0, 10, 12, 15, 19, 20, 21, 44, 49, 54, 60]",11,"[0, 10, 12, 15, 19, 20, 21, 44, 54, 60]",10,"[10, 12, 15, 19, 20, 21, 44, 49, 54, 60]",10,"[10, 12, 15, 19, 20, 21, 44, 54]",8,"[10, 12, 15, 19, 20, 21, 44, 49, 54, 60]",10,"[10, 15, 19, 20, 21, 28, 44, 49, 54, 60]",10,"[10, 15, 19, 20, 21, 44, 49, 54, 60]",9,"[10, 15, 19, 20, 21, 28, 44, 49, 54, 60]",10,"[10, 15, 19, 20, 44, 49, 52, 54, 60]",9,"[10, 15, 19, 20, 44, 49, 52, 54, 60]",9,"[10, 12, 15, 19, 20, 44, 49, 52, 54, 60]",10,"[10, 15, 19, 20, 44, 49, 52, 54, 60]",9,"[10, 12, 15, 19, 20, 44, 49, 52, 54, 60]",10,"[10, 15, 19, 20, 21, 28, 44, 49, 54, 60]",10,"[10, 15, 19, 20, 44, 49, 52, 54, 60]",9,"[10, 15, 19, 20, 43, 44, 49, 54, 60]",9,"[10, 15, 19, 20, 44, 49, 52, 54, 60]",9
2,11,"[8, 9, 18, 21, 23, 36, 44]",7,"[2, 8, 9, 18, 20, 21, 23, 36, 44]",9,"[2, 8, 9, 18, 21, 23, 36, 46]",8,"[2, 8, 9, 18, 21, 36, 42, 46]",8,"[2, 8, 9, 16, 18, 21, 23, 36, 46]",9,"[2, 8, 9, 16, 18, 21, 36, 42, 46]",9,"[2, 8, 9, 16, 18, 21, 23, 36, 46]",9,"[2, 8, 9, 16, 18, 21, 36, 42]",8,"[2, 8, 9, 16, 18, 21, 36, 42, 46]",9,"[2, 8, 9, 18, 21, 36, 42, 46]",8,"[2, 8, 9, 16, 18, 21, 22, 36, 42, 46]",10,"[2, 8, 9, 16, 18, 21, 36, 42, 46]",9,"[2, 8, 9, 16, 18, 21, 22, 36, 42, 46]",10,"[2, 8, 9, 16, 18, 21, 36, 42, 46]",9,"[2, 8, 9, 16, 18, 21, 22, 36, 42, 46]",10,"[2, 8, 9, 16, 18, 21, 36, 42, 46]",9,"[2, 8, 9, 16, 18, 21, 36, 42, 46]",9,"[2, 8, 9, 16, 18, 21, 36, 41, 42, 46]",10,"[2, 8, 9, 16, 18, 21, 22, 36, 42, 46]",10,"[2, 8, 9, 16, 18, 21, 36, 41, 42, 46]",10
3,0,"[6, 10, 13, 24, 42, 49, 50]",7,"[4, 6, 13, 15, 24, 49, 50]",7,"[11, 13, 24, 28, 36, 42, 49]",7,"[4, 11, 13, 15, 24, 36, 42, 49]",8,"[0, 8, 13, 24, 36, 42, 49]",7,"[4, 8, 11, 13, 15, 24, 36, 42, 49]",9,"[0, 8, 13, 24, 36, 42, 49]",7,"[0, 4, 8, 11, 13, 24, 42, 49]",8,"[4, 11, 13, 15, 24, 28, 36, 42, 49]",9,"[4, 11, 13, 15, 24, 28, 36, 42, 49]",9,"[11, 13, 15, 24, 28, 36, 42, 49]",8,"[4, 11, 13, 15, 24, 28, 36, 42, 49]",9,"[0, 11, 13, 24, 28, 36, 42, 49]",8,"[4, 11, 13, 15, 24, 28, 36, 42, 49]",9,"[0, 11, 13, 24, 28, 36, 42, 49]",8,"[4, 11, 13, 15, 24, 28, 36, 42, 49]",9,"[4, 11, 13, 15, 24, 28, 36, 42, 49]",9,"[4, 11, 13, 15, 24, 28, 36, 42, 49]",9,"[9, 11, 13, 15, 24, 28, 36, 42, 49]",9,"[9, 11, 13, 15, 24, 28, 36, 42, 49]",9
3,1,"[31, 45, 48, 51, 63]",5,"[31, 45, 48, 51, 63]",5,"[15, 16, 29, 31, 48, 51, 55, 63]",8,"[15, 29, 31, 39, 48, 51, 63]",7,"[3, 15, 16, 29, 31, 45, 48, 51, 55]",9,"[3, 15, 29, 31, 45, 48, 51]",7,"[3, 15, 16, 29, 31, 45, 48, 51, 55, 61]",10,"[3, 15, 26, 29, 31, 45, 48, 51, 61]",9,"[15, 24, 29, 31, 48, 51, 55]",7,"[15, 24, 29, 31, 38, 48, 51, 55]",8,"[15, 24, 29, 48, 51, 55]",6,"[15, 24, 29, 31, 38, 39, 48, 51, 55]",9,"[15, 24, 29, 31, 48, 51, 55]",7,"[15, 24, 29, 31, 38, 48, 51, 55]",8,"[15, 24, 29, 31, 48, 51, 55]",7,"[15, 24, 29, 31, 38, 48, 51, 55]",8,"[15, 24, 29, 31, 48, 51, 55]",7,"[15, 24, 29, 31, 38, 48, 51, 55]",8,"[15, 24, 29, 31, 32, 38, 48, 51, 55]",9,"[15, 24, 29, 31, 38, 42, 48, 51, 55]",9
3,2,"[1, 2, 41, 46, 48, 55]",6,"[2, 41, 46, 48, 55]",5,"[1, 2, 14, 18, 29, 39, 41, 54, 55, 60]",10,"[1, 2, 14, 39, 41, 51, 53, 54, 55, 60]",10,"[2, 14, 18, 29, 39, 41, 53, 55, 60]",9,"[2, 14, 18, 29, 39, 53, 55, 60]",8,"[2, 14, 18, 29, 39, 41, 53, 55, 60]",9,"[2, 14, 18, 29, 39, 41, 53, 55, 60]",9,"[2, 14, 18, 29, 30, 39, 54, 55, 60]",9,"[1, 2, 14, 18, 30, 39, 54, 55, 60]",9,"[1, 2, 14, 18, 29, 30, 39, 41, 54, 55, 60]",11,"[1, 2, 14, 18, 30, 39, 54, 55, 60]",9,"[1, 2, 14, 18, 29, 30, 39, 41, 54, 55, 60]",11,"[1, 2, 14, 18, 30, 39, 53, 54, 55, 60]",10,"[1, 2, 14, 18, 29, 30, 39, 41, 54, 55, 60]",11,"[1, 2, 14, 18, 30, 39, 53, 54, 55, 60]",10,"[2, 14, 18, 29, 30, 39, 41, 54, 55, 60]",10,"[1, 2, 14, 18, 30, 39, 54, 55, 60]",9,"[0, 1, 2, 14, 18, 30, 41, 54, 55, 60]",10,"[0, 1, 2, 14, 18, 30, 39, 54, 55, 60]",10
3,3,"[10, 24, 32, 35, 46, 51, 59, 63]",8,"[3, 20, 24, 33, 35, 63]",6,"[10, 28, 32, 35, 46, 51, 57, 63]",8,"[8, 10, 17, 20, 28, 35, 46, 63]",8,"[8, 10, 28, 35, 46, 51, 57, 59, 63]",9,"[8, 10, 17, 20, 28, 35, 46, 63]",8,"[8, 10, 28, 35, 46, 57, 59, 63]",8,"[8, 10, 17, 20, 28, 35, 46, 63]",8,"[8, 10, 12, 20, 28, 35, 46, 51, 57, 63]",10,"[8, 10, 20, 28, 31, 35, 46, 51, 57, 63]",10,"[8, 10, 12, 20, 28, 46, 51, 57, 63]",9,"[8, 10, 17, 20, 28, 31, 35, 46, 51]",9,"[8, 10, 12, 20, 28, 35, 46, 51, 57]",9,"[8, 10, 17, 20, 28, 31, 35, 46, 51]",9,"[8, 10, 12, 20, 28, 35, 46, 51, 57]",9,"[8, 10, 17, 20, 28, 31, 35, 46, 51]",9,"[8, 10, 12, 20, 28, 35, 46, 51, 57, 63]",10,"[8, 10, 20, 28, 31, 35, 46, 51, 57]",9,"[10, 12, 17, 20, 31, 42, 46, 51, 57]",9,"[10, 17, 20, 28, 31, 35, 46, 51, 57]",9
3,4,"[15, 19, 23, 37, 45, 50]",6,"[2, 14, 15, 19, 23, 37, 45]",7,"[4, 19, 21, 23, 33, 44, 50, 52]",8,"[2, 4, 23, 44, 50, 52]",6,"[19, 23, 37, 44, 47, 50, 52]",7,"[2, 4, 23, 44, 50, 52]",6,"[19, 23, 37, 47, 50, 52, 60]",7,"[2, 23, 32, 44, 50, 52]",6,"[2, 4, 20, 21, 23, 33, 44, 49, 50, 52]",10,"[2, 4, 21, 23, 33, 44, 49, 50, 52]",9,"[2, 4, 21, 23, 33, 44, 49, 50, 52]",9,"[2, 4, 21, 23, 33, 44, 49, 50, 52]",9,"[4, 21, 23, 33, 44, 47, 49, 50, 52]",9,"[2, 4, 21, 23, 44, 49, 50, 52]",8,"[4, 21, 23, 33, 44, 47, 49, 50, 52]",9,"[2, 4, 21, 23, 44, 49, 50, 52]",8,"[2, 4, 20, 21, 23, 33, 44, 49, 50, 52]",10,"[2, 4, 21, 23, 33, 44, 49, 50, 52]",9,"[2, 4, 21, 23, 33, 44, 49, 50, 52]",9,"[2, 4, 21, 33, 44, 49, 50, 52, 57]",9
3,5,"[5, 18, 21, 38, 46, 54]",6,"[4, 5, 18, 21, 29, 38, 46, 54]",8,"[4, 21, 29, 32, 38, 39]",6,"[4, 21, 29, 32, 37, 38, 39, 59]",8,"[4, 21, 29, 38, 39, 42, 59]",7,"[4, 21, 29, 38, 39, 59]",6,"[4, 21, 29, 38, 39, 42, 59]",7,"[4, 29, 38, 42, 59]",5,"[4, 8, 13, 21, 27, 29, 38, 39, 53]",9,"[4, 8, 27, 29, 38, 39, 55, 57]",8,"[4, 8, 13, 29, 38, 39, 53, 57, 59]",9,"[4, 8, 29, 38, 39, 53, 57, 59]",8,"[4, 8, 29, 38, 39, 53, 57, 59]",8,"[4, 8, 29, 38, 39, 42, 53, 57, 59]",9,"[4, 8, 29, 38, 39, 53, 57, 59]",8,"[4, 8, 29, 38, 39, 42, 53, 57, 59]",9,"[4, 8, 13, 27, 29, 38, 39, 53, 57]",9,"[4, 8, 27, 29, 38, 39, 55, 57, 59]",9,"[4, 8, 13, 29, 38, 39, 53, 59]",8,"[4, 8, 29, 38, 39, 53, 59]",7
3,6,"[2, 22, 34, 44, 45, 46]",6,"[19, 23, 28, 34, 62]",5,"[11, 22, 44, 45, 50, 54]",6,"[19, 22, 23, 25, 28, 34, 44, 56, 62]",9,"[18, 19, 22, 29, 44, 54]",6,"[19, 22, 23, 25, 28, 34, 62]",7,"[18, 19, 22, 29, 44, 54]",6,"[19, 22, 23, 25, 28, 34, 62]",7,"[11, 16, 22, 32, 44, 45, 50, 54]",8,"[19, 22, 23, 25, 26, 28, 29, 34, 52, 56, 62]",11,"[11, 16, 18, 22, 44, 45, 54]",7,"[19, 22, 23, 25, 26, 28, 29, 34, 52, 62]",10,"[18, 19, 22, 29, 33, 44, 54]",7,"[19, 22, 25, 26, 28, 29, 34, 62]",8,"[18, 19, 22, 29, 33, 44, 54]",7,"[19, 22, 25, 26, 28, 29, 34, 62]",8,"[11, 12, 16, 22, 32, 44, 45, 50]",8,"[19, 22, 23, 25, 26, 28, 29, 34, 40, 52, 62]",11,"[11, 12, 16, 22, 32, 33, 44, 45, 50]",9,"[18, 19, 22, 25, 26, 28, 29, 40, 52, 62]",10
3,7,"[4, 6, 21, 50, 54, 58]",6,"[4, 6, 21, 50, 54, 58]",6,"[15, 21, 27, 30, 37, 50, 60]",7,"[15, 21, 27, 30, 37, 60]",6,"[15, 21, 27, 30, 37, 50, 60]",7,"[15, 21, 27, 30, 37, 50, 60]",7,"[15, 21, 27, 28, 30, 37, 50, 60]",8,"[15, 21, 27, 28, 30, 37, 48, 50, 60]",9,"[8, 10, 15, 21, 27, 37, 49, 60]",8,"[8, 10, 15, 21, 27, 37, 49, 60]",8,"[8, 10, 15, 21, 27, 37, 49, 60]",8,"[8, 10, 15, 21, 27, 37, 49, 60]",8,"[8, 15, 21, 27, 37, 49, 50, 60]",8,"[8, 10, 15, 21, 27, 37, 48, 49, 60]",9,"[8, 15, 21, 27, 37, 49, 50, 60]",8,"[8, 10, 15, 21, 27, 37, 48, 49, 60]",9,"[8, 10, 15, 21, 27, 37, 49, 60]",8,"[8, 10, 15, 21, 27, 37, 49, 60]",8,"[3, 8, 10, 21, 27, 28, 37, 49, 50, 60]",10,"[8, 10, 15, 21, 27, 28, 37, 39, 49, 60]",10
