class_id,img_idx,occlusion_level,cos_sim,clean_mag,occ_mag,mag_diff
421,18,0,0.9308850765228271,70.614876,64.50763,6.1072464
421,19,0,0.8815685510635376,64.771996,58.33882,6.433174
421,20,0,0.4637339115142822,43.114033,61.462387,18.348354
421,21,0,0.4808422029018402,46.34043,53.81141,7.470978
421,22,0,0.8705675601959229,61.83604,68.09905,6.263012
421,23,0,0.5565800070762634,53.657288,48.613503,5.043785
421,24,0,0.8818372488021851,65.2532,57.80024,7.452957
421,25,0,0.8809977769851685,59.48437,69.41365,9.929279
421,26,0,0.4805608093738556,50.37391,51.565186,1.1912766
421,27,0,0.6813627481460571,66.12506,51.266205,14.858856
421,28,0,0.5982248187065125,68.75803,42.943016,25.815018
421,29,0,0.6951212882995605,64.75602,46.090942,18.665077
421,30,0,0.8317931890487671,54.079636,67.57478,13.495148
421,31,0,0.7067270278930664,52.273087,50.478783,1.7943039
421,32,0,0.8805953860282898,63.05113,57.515892,5.5352364
421,33,0,0.8654879927635193,67.15642,68.32062,1.1641998
421,34,0,0.999472975730896,70.71499,69.781685,0.93330383
421,35,0,0.7779028415679932,53.356865,63.620056,10.263191
421,36,0,0.8729441165924072,63.598534,64.60585,1.0073166
421,37,0,0.8435022830963135,76.65652,61.26776,15.388756
421,38,0,0.767100989818573,51.6815,54.337173,2.655674
421,39,0,0.5244072675704956,42.57127,68.13774,25.566471
421,40,0,0.6747264862060547,50.29589,61.327087,11.031197
421,41,0,0.5641962885856628,64.96339,46.225304,18.738083
421,42,0,0.9995766282081604,46.83278,46.78232,0.050460815
421,43,0,0.8293111324310303,58.950783,64.67939,5.728607
421,44,0,0.7194842100143433,68.289734,54.00429,14.285442
421,45,0,0.7750187516212463,61.469513,51.782288,9.687225
421,46,0,0.5980339050292969,52.211243,49.865322,2.3459206
421,47,0,0.8453350067138672,55.251152,63.50582,8.254669
421,48,0,0.4858752489089966,68.17718,43.0575,25.119678
421,49,0,0.8129100203514099,55.41249,52.14335,3.2691422
430,0,0,0.9214571714401245,68.972115,80.39669,11.424576
430,1,0,0.9267851710319519,71.502304,72.47005,0.9677429
430,2,0,0.959710955619812,80.65993,74.016594,6.6433334
430,3,0,0.9565151929855347,66.64741,60.642365,6.005043
430,4,0,0.7647459506988525,71.21361,58.74757,12.466038
430,5,0,0.8300790786743164,66.91587,61.058853,5.8570175
430,6,0,0.8592833876609802,56.794563,69.38814,12.593575
430,7,0,0.8865881562232971,81.35488,60.767338,20.587543
430,8,0,0.9265616536140442,74.20747,66.24568,7.961792
430,9,0,0.9756174683570862,80.870636,71.06949,9.801147
430,10,0,0.8742556571960449,67.85189,59.018055,8.833836
430,11,0,0.7750014662742615,57.91558,67.873215,9.957634
430,12,0,0.8938735127449036,59.398052,68.62868,9.230625
430,13,0,0.9383841753005981,82.51754,66.168015,16.349525
430,14,0,0.5975813269615173,48.73296,67.884476,19.151516
430,15,0,0.8476011753082275,61.264484,84.23215,22.967663
430,16,0,0.9669600129127502,70.3194,66.87305,3.44635
430,17,0,0.9676250219345093,69.66137,66.984375,2.6769943
430,18,0,0.9257853031158447,59.264606,77.50809,18.24348
430,19,0,0.9477099180221558,74.53241,70.55444,3.9779663
430,20,0,0.9034857749938965,66.91275,64.89866,2.0140915
430,21,0,0.9458452463150024,59.516506,74.168884,14.652378
430,22,0,0.3193577826023102,67.03422,39.412342,27.621876
430,23,0,0.7851877808570862,90.02257,58.113205,31.909363
430,24,0,0.9144963026046753,76.39724,69.691376,6.705864
430,25,0,0.9050628542900085,69.278694,59.261803,10.0168915
430,26,0,0.9334152936935425,73.9086,72.60237,1.3062286
430,27,0,0.9226754903793335,65.117645,70.01903,4.9013824
430,28,0,0.915892481803894,78.1437,60.76108,17.382618
430,29,0,0.9388865828514099,84.51829,76.570114,7.9481735
430,30,0,0.9248520135879517,69.78224,68.18405,1.5981903
430,31,0,0.9316025376319885,83.18352,67.44626,15.737259
430,32,0,0.8352369070053101,72.08684,55.376984,16.709854
430,33,0,0.8729924559593201,61.586327,59.688343,1.8979836
430,34,0,0.930789589881897,67.171,82.7831,15.612099
430,35,0,0.7008036375045776,61.58152,49.00239,12.579128
430,36,0,0.8918712735176086,70.09066,70.441864,0.35120392
430,37,0,0.9175663590431213,76.88151,69.100784,7.7807236
430,38,0,0.9351961612701416,66.58021,87.391396,20.811188
430,39,0,0.823685884475708,59.658936,64.52541,4.866478
430,40,0,0.3013099431991577,40.165802,73.48503,33.31923
430,41,0,0.9113658666610718,60.934536,69.6798,8.745266
430,42,0,0.8878005146980286,58.441395,70.89807,12.4566765
430,43,0,0.9023457765579224,80.29723,58.08161,22.215622
430,44,0,0.9470739364624023,70.2411,76.50449,6.263397
430,45,0,0.8990303874015808,56.158722,80.969635,24.810913
430,46,0,0.9348920583724976,72.33711,79.18911,6.8519974
430,47,0,0.9657909274101257,71.800995,82.99621,11.195213
430,48,0,0.9501245021820068,69.88924,80.85518,10.965942
430,49,0,0.8747626543045044,74.08673,54.708744,19.377987
668,0,0,0.8935067653656006,60.75872,71.93584,11.177116
668,1,0,0.9070324897766113,77.82225,59.565956,18.256294
668,2,0,0.9158560633659363,73.8933,58.25329,15.640015
668,3,0,0.9471947550773621,62.137703,71.48572,9.348015
668,4,0,0.8761143088340759,75.20372,60.146423,15.057297
668,5,0,0.916580855846405,61.207047,81.73213,20.525085
668,6,0,0.8951507806777954,64.960625,60.10704,4.8535843
668,7,0,0.8218296766281128,67.72341,52.64983,15.073582
668,8,0,0.886940598487854,60.03345,69.629814,9.596363
668,9,0,0.9240258932113647,74.67693,69.07968,5.597252
668,10,0,0.913196861743927,77.18299,59.889748,17.293243
668,11,0,0.9364543557167053,72.47854,74.608765,2.1302261
668,12,0,0.9407964944839478,59.13162,74.274254,15.142635
668,13,0,0.8304539322853088,70.74548,56.68566,14.059822
668,14,0,0.9512248635292053,69.557816,75.8551,6.297287
668,15,0,0.8420032262802124,52.899544,64.682045,11.782501
668,16,0,0.785304844379425,74.6815,50.85367,23.827835
668,17,0,0.9676971435546875,83.88511,75.5722,8.312912
668,18,0,0.912940502166748,59.27125,63.745285,4.4740334
668,19,0,0.9345110058784485,77.005615,71.85821,5.1474075
668,20,0,0.8720993995666504,84.311165,59.984566,24.3266
668,21,0,0.9264739155769348,60.053375,71.37651,11.323135
668,22,0,0.9603478908538818,71.282845,74.148285,2.8654404
668,23,0,0.9445915222167969,66.48746,70.55152,4.064064
668,24,0,0.8981908559799194,58.500103,59.104725,0.6046219
668,25,0,0.8519588708877563,72.41527,57.5494,14.865868
668,26,0,0.8293243646621704,51.554848,70.56628,19.011429
668,27,0,0.958111047744751,72.5717,75.65631,3.08461
668,28,0,0.9684591889381409,85.00605,82.98194,2.024109
668,29,0,0.951920211315155,69.06735,75.37049,6.3031387
668,30,0,0.8165278434753418,82.28559,53.102974,29.182617
668,31,0,0.9498571157455444,71.00933,72.51839,1.5090561
668,32,0,0.9314551949501038,71.2087,70.35295,0.85575104
668,33,0,0.9365766644477844,71.765015,86.80403,15.039017
668,34,0,0.8432347178459167,53.396328,75.59087,22.194546
668,35,0,0.937047004699707,65.760956,71.30211,5.541153
668,36,0,0.9110230207443237,61.72767,76.96172,15.234055
668,37,0,0.9324437379837036,73.95016,59.441948,14.508209
668,38,0,0.9580355882644653,73.46752,85.34108,11.873558
668,39,0,0.835379958152771,56.137016,59.378834,3.2418175
668,40,0,0.9026612639427185,63.411938,61.464565,1.9473724
668,41,0,0.9323107004165649,70.385284,69.24783,1.1374512
668,42,0,0.9170371294021606,67.00129,71.376114,4.3748245
668,43,0,0.9556848406791687,77.24464,76.94389,0.3007431
668,44,0,0.9328122138977051,67.94423,68.62925,0.68502045
668,45,0,0.8530899882316589,57.724014,66.643715,8.919701
668,46,0,0.9373307824134827,72.31074,73.35251,1.0417709
668,47,0,0.9513144493103027,60.50989,65.7969,5.2870064
